"Name","Live Bytes","Live Objects"
"org.apache.coyote.http11.Http11InputBuffer$HeaderParsePosition","144 B (0 %)","6 (0 %)"
"java.util.concurrent.ScheduledThreadPoolExecutor","144 B (0 %)","2 (0 %)"
"javax.management.remote.rmi.RMIConnectionImpl$6","144 B (0 %)","6 (0 %)"
"javax.management.remote.rmi.RMIConnectionImpl$7","144 B (0 %)","6 (0 %)"
"java.net.Socket$SocketInputStream","144 B (0 %)","6 (0 %)"
"com.sun.beans.util.Cache$CacheEntry[]","144 B (0 %)","1 (0 %)"
"org.apache.coyote.http11.Http11NioProtocol","144 B (0 %)","1 (0 %)"
"org.springframework.boot.context.properties.source.ConfigurationPropertyName$ElementType","144 B (0 %)","6 (0 %)"
"org.apache.catalina.connector.InputBuffer","144 B (0 %)","2 (0 %)"
"java.rmi.server.Operation","144 B (0 %)","9 (0 %)"
"org.apache.catalina.core.StandardServer","144 B (0 %)","1 (0 %)"
"org.springframework.beans.TypeConverterDelegate","144 B (0 %)","6 (0 %)"
"org.springframework.web.context.request.RequestScope","144 B (0 %)","9 (0 %)"
"com.fasterxml.jackson.databind.cfg.SerializerFactoryConfig","144 B (0 %)","6 (0 %)"
"sun.rmi.transport.tcp.TCPChannel","144 B (0 %)","3 (0 %)"
"java.security.Permissions$1","144 B (0 %)","6 (0 %)"
"java.time.temporal.JulianFields$Field","144 B (0 %)","3 (0 %)"
"java.security.PermissionsHash","144 B (0 %)","6 (0 %)"
"java.util.concurrent.ConcurrentLinkedQueue","144 B (0 %)","6 (0 %)"
"java.lang.invoke.VarHandle$AccessMode[]","144 B (0 %)","1 (0 %)"
"com.sun.proxy.$Proxy38","144 B (0 %)","9 (0 %)"
"java.lang.Thread$State","144 B (0 %)","6 (0 %)"
"com.fasterxml.jackson.annotation.JsonAutoDetect$Visibility","144 B (0 %)","6 (0 %)"
"java.math.BigDecimal[]","144 B (0 %)","2 (0 %)"
"com.fasterxml.jackson.databind.deser.KeyDeserializers[]","144 B (0 %)","6 (0 %)"
"java.util.concurrent.ThreadPoolExecutor","144 B (0 %)","2 (0 %)"
"jdk.internal.perf.PerfCounter","144 B (0 %)","6 (0 %)"
"java.lang.NamedPackage","144 B (0 %)","6 (0 %)"
"sun.security.provider.MoreDrbgParameters","144 B (0 %)","3 (0 %)"
"com.fasterxml.jackson.core.JsonParser$NumberType","144 B (0 %)","6 (0 %)"
"sun.nio.cs.StreamEncoder","144 B (0 %)","3 (0 %)"
"com.fasterxml.jackson.databind.deser.ValueInstantiators[]","136 B (0 %)","6 (0 %)"
"java.time.temporal.ChronoField[]","136 B (0 %)","1 (0 %)"
"java.util.stream.FindOps$FindOp","128 B (0 %)","4 (0 %)"
"org.springframework.web.method.annotation.RequestParamMethodArgumentResolver","128 B (0 %)","4 (0 %)"
"java.util.concurrent.ConcurrentHashMap$ValuesView","128 B (0 %)","8 (0 %)"
"org.apache.catalina.connector.Response","128 B (0 %)","2 (0 %)"
"org.springframework.http.converter.StringHttpMessageConverter","128 B (0 %)","4 (0 %)"
"org.apache.catalina.connector.OutputBuffer","128 B (0 %)","2 (0 %)"
"sun.nio.fs.NativeBuffer","128 B (0 %)","4 (0 %)"
"org.attoparser.config.ParseConfiguration$PrologParseConfiguration","128 B (0 %)","4 (0 %)"
"org.apache.coyote.http11.InputFilter[]","128 B (0 %)","4 (0 %)"
"org.apache.catalina.core.ApplicationFilterConfig","128 B (0 %)","4 (0 %)"
"javax.management.MBeanConstructorInfo","128 B (0 %)","4 (0 %)"
"org.apache.coyote.http11.filters.ChunkedInputFilter","128 B (0 %)","2 (0 %)"
"com.sun.jmx.mbeanserver.DefaultMXBeanMappingFactory$ArrayMapping","128 B (0 %)","4 (0 %)"
"org.springframework.beans.propertyeditors.CustomCollectionEditor","128 B (0 %)","4 (0 %)"
"org.apache.coyote.http11.OutputFilter[]","128 B (0 %)","4 (0 %)"
"com.fasterxml.jackson.databind.ser.BeanPropertyWriter[]","128 B (0 %)","6 (0 %)"
"org.apache.coyote.ErrorState","128 B (0 %)","4 (0 %)"
"org.apache.catalina.core.StandardEngine","128 B (0 %)","1 (0 %)"
"org.springframework.expression.spel.SpelParserConfiguration","128 B (0 %)","4 (0 %)"
"org.thymeleaf.templatemode.TemplateMode[]","128 B (0 %)","2 (0 %)"
"java.security.MessageDigest$Delegate$CloneableDelegate","128 B (0 %)","4 (0 %)"
"java.util.Random","128 B (0 %)","4 (0 %)"
"org.springframework.util.PropertyPlaceholderHelper","128 B (0 %)","4 (0 %)"
"org.apache.tomcat.util.collections.SynchronizedStack","128 B (0 %)","4 (0 %)"
"org.springframework.web.servlet.view.AbstractCachingViewResolver$2","128 B (0 %)","2 (0 %)"
"java.lang.invoke.MethodHandles$Lookup","128 B (0 %)","4 (0 %)"
"org.springframework.core.MethodParameter[]","128 B (0 %)","6 (0 %)"
"org.springframework.http.server.ServletServerHttpResponse","120 B (0 %)","5 (0 %)"
"org.springframework.web.servlet.mvc.method.annotation.AbstractMessageConverterMethodArgumentResolver$EmptyBodyCheckingHttpInputMessage","120 B (0 %)","5 (0 %)"
"java.util.Comparator$$Lambda$608.0x0000000800e75940","120 B (0 %)","5 (0 %)"
"jdk.internal.math.FloatingDecimal$BinaryToASCIIBuffer","120 B (0 %)","3 (0 %)"
"org.springframework.boot.ansi.AnsiStyle","120 B (0 %)","5 (0 %)"
"java.io.PushbackInputStream","120 B (0 %)","5 (0 %)"
"org.springframework.web.servlet.mvc.method.annotation.RequestMappingHandlerAdapter$$Lambda$602.0x0000000800e921d8","120 B (0 %)","5 (0 %)"
"org.springframework.web.servlet.DispatcherServlet","120 B (0 %)","1 (0 %)"
"org.thymeleaf.standard.processor.AbstractStandardMultipleAttributeModifierTagProcessor$ModificationType","120 B (0 %)","5 (0 %)"
"org.thymeleaf.standard.processor.StandardInlineEnablementTemplateBoundariesProcessor","120 B (0 %)","5 (0 %)"
"org.apache.tomcat.util.net.WriteBuffer","120 B (0 %)","5 (0 %)"
"org.springframework.web.method.annotation.SessionAttributesHandler$$Lambda$607.0x0000000800e96350","120 B (0 %)","5 (0 %)"
"java.time.format.SignStyle","120 B (0 %)","5 (0 %)"
"org.springframework.web.method.annotation.ModelFactory","120 B (0 %)","5 (0 %)"
"org.apache.catalina.webresources.EmptyResource","120 B (0 %)","5 (0 %)"
"javax.servlet.http.MappingMatch","120 B (0 %)","5 (0 %)"
"org.thymeleaf.engine.AttributeNames$AttributeNamesRepository","120 B (0 %)","3 (0 %)"
"javax.servlet.DispatcherType","120 B (0 %)","5 (0 %)"
"java.util.regex.Pattern$Ques","120 B (0 %)","5 (0 %)"
"org.springframework.web.servlet.DispatcherServlet$$Lambda$599.0x0000000800e906b8","120 B (0 %)","5 (0 %)"
"org.springframework.validation.DefaultMessageCodesResolver","120 B (0 %)","5 (0 %)"
"org.apache.tomcat.util.threads.InlineExecutorService","120 B (0 %)","5 (0 %)"
"org.springframework.http.server.ServletServerHttpResponse$ServletResponseHttpHeaders","120 B (0 %)","5 (0 %)"
"java.lang.module.ModuleDescriptor$Opens","120 B (0 %)","5 (0 %)"
"java.lang.WeakPairMap$Pair$Weak","120 B (0 %)","3 (0 %)"
"org.springframework.web.servlet.DispatcherServlet$$Lambda$600.0x0000000800e90b50","120 B (0 %)","5 (0 %)"
"jdk.net.ExtendedSocketOptions$ExtSocketOption","120 B (0 %)","5 (0 %)"
"org.thymeleaf.engine.HTMLElementType","120 B (0 %)","5 (0 %)"
"java.lang.invoke.LambdaForm$BasicType[]","120 B (0 %)","3 (0 %)"
"com.fasterxml.jackson.databind.introspect.SimpleMixInResolver","120 B (0 %)","5 (0 %)"
"org.thymeleaf.standard.processor.StandardInlineTextualTagProcessor","120 B (0 %)","3 (0 %)"
"org.springframework.web.servlet.mvc.method.annotation.AbstractMessageConverterMethodArgumentResolver$$Lambda$616.0x0000000800f139a0","120 B (0 %)","5 (0 %)"
"org.thymeleaf.engine.ElementNames$ElementNamesRepository","120 B (0 %)","3 (0 %)"
"org.springframework.web.servlet.mvc.method.annotation.RequestResponseBodyMethodProcessor","120 B (0 %)","3 (0 %)"
"org.springframework.core.NamedThreadLocal","120 B (0 %)","5 (0 %)"
"javax.management.NotificationBroadcasterSupport","120 B (0 %)","5 (0 %)"
"org.springframework.context.annotation.FilterType","120 B (0 %)","5 (0 %)"
"com.fasterxml.jackson.databind.PropertyMetadata","120 B (0 %)","3 (0 %)"
"com.fasterxml.jackson.databind.ser.SerializerCache","120 B (0 %)","5 (0 %)"
"sun.rmi.transport.WeakRef","120 B (0 %)","3 (0 %)"
"com.fasterxml.jackson.databind.deser.DeserializerCache","120 B (0 %)","5 (0 %)"
"java.lang.reflect.ProxyGenerator$ProxyMethod","120 B (0 %)","3 (0 %)"
"org.springframework.core.annotation.MergedAnnotations$SearchStrategy","120 B (0 %)","5 (0 %)"
"java.util.stream.StreamOpFlag$Type","120 B (0 %)","5 (0 %)"
"sun.rmi.transport.tcp.TCPTransport$ConnectionHandler","120 B (0 %)","3 (0 %)"
"org.apache.tomcat.util.buf.UDecoder$DecodeException","120 B (0 %)","3 (0 %)"
"com.fasterxml.jackson.core.util.DefaultIndenter","120 B (0 %)","5 (0 %)"
"org.springframework.http.HttpMethod[]","120 B (0 %)","3 (0 %)"
"com.fasterxml.jackson.annotation.Nulls","120 B (0 %)","5 (0 %)"
"java.net.Socket$SocketOutputStream","120 B (0 %)","5 (0 %)"
"java.nio.channels.SelectionKey[]","120 B (0 %)","5 (0 %)"
"sun.nio.fs.WindowsPathType","120 B (0 %)","5 (0 %)"
"jdk.internal.math.FloatingDecimal$PreparedASCIIToBinaryBuffer","120 B (0 %)","5 (0 %)"
"org.springframework.web.servlet.mvc.method.annotation.HttpEntityMethodProcessor","120 B (0 %)","3 (0 %)"
"org.springframework.http.HttpStatus$Series","120 B (0 %)","5 (0 %)"
"org.thymeleaf.standard.processor.StandardInliningTextProcessor","120 B (0 %)","5 (0 %)"
"ch.qos.logback.core.subst.Token$Type","120 B (0 %)","5 (0 %)"
"ch.qos.logback.core.pattern.parser.TokenStream$TokenizerState","120 B (0 %)","5 (0 %)"
"org.springframework.web.servlet.handler.AbstractHandlerMethodMapping$Match","120 B (0 %)","5 (0 %)"
"com.fasterxml.jackson.databind.module.SimpleDeserializers","120 B (0 %)","5 (0 %)"
"org.apache.catalina.connector.CoyoteReader","112 B (0 %)","2 (0 %)"
"org.springframework.boot.autoconfigure.cache.CacheType[]","112 B (0 %)","2 (0 %)"
"jdk.internal.loader.ClassLoaders$AppClassLoader","112 B (0 %)","1 (0 %)"
"jdk.internal.loader.ClassLoaderValue","112 B (0 %)","7 (0 %)"
"org.apache.coyote.http11.Http11OutputBuffer","112 B (0 %)","2 (0 %)"
"org.apache.catalina.connector.Connector","112 B (0 %)","1 (0 %)"
"com.fasterxml.jackson.core.JsonGenerator$Feature[]","112 B (0 %)","2 (0 %)"
"java.nio.DirectIntBufferRU","112 B (0 %)","2 (0 %)"
"sun.nio.ch.SourceChannelImpl","112 B (0 %)","2 (0 %)"
"org.springframework.core.env.PropertySourcesPropertyResolver","112 B (0 %)","2 (0 %)"
"com.sun.proxy.$Proxy44","112 B (0 %)","7 (0 %)"
"com.sun.proxy.$Proxy29","112 B (0 %)","7 (0 %)"
"sun.nio.ch.NioSocketImpl$$Lambda$16.0x0000000800b62360","112 B (0 %)","7 (0 %)"
"com.sun.proxy.$Proxy16","112 B (0 %)","7 (0 %)"
"sun.nio.ch.SinkChannelImpl","112 B (0 %)","2 (0 %)"
"org.apache.catalina.core.ApplicationFilterConfig[]","112 B (0 %)","2 (0 %)"
"java.util.stream.Collector$Characteristics[]","104 B (0 %)","4 (0 %)"
"jdk.internal.loader.ClassLoaders$BootClassLoader","104 B (0 %)","1 (0 %)"
"org.apache.catalina.Container[]","104 B (0 %)","5 (0 %)"
"sun.security.provider.Sun","104 B (0 %)","1 (0 %)"
"sun.security.jca.ProviderList$1","104 B (0 %)","1 (0 %)"
"org.springframework.web.servlet.view.InternalResourceViewResolver","104 B (0 %)","1 (0 %)"
"sun.util.logging.PlatformLogger$Level[]","104 B (0 %)","2 (0 %)"
"jdk.internal.loader.ClassLoaders$PlatformClassLoader","104 B (0 %)","1 (0 %)"
"org.apache.tomcat.util.net.SocketProperties","104 B (0 %)","1 (0 %)"
"java.lang.Runtime$Version","96 B (0 %)","3 (0 %)"
"ch.qos.logback.classic.LoggerContext","96 B (0 %)","1 (0 %)"
"com.fasterxml.jackson.databind.deser.BeanDeserializerFactory","96 B (0 %)","6 (0 %)"
"com.fasterxml.jackson.databind.ser.BeanSerializer","96 B (0 %)","2 (0 %)"
"java.time.format.FormatStyle","96 B (0 %)","4 (0 %)"
"java.lang.invoke.SimpleMethodHandle","96 B (0 %)","3 (0 %)"
"sun.nio.fs.NativeBuffer$Deallocator","96 B (0 %)","4 (0 %)"
"ch.qos.logback.core.subst.Token","96 B (0 %)","4 (0 %)"
"java.util.regex.Pattern$$Lambda$128.0x0000000800c21d78","96 B (0 %)","4 (0 %)"
"com.fasterxml.jackson.databind.deser.BeanDeserializer","96 B (0 %)","1 (0 %)"
"java.lang.module.ModuleDescriptor$Modifier","96 B (0 %)","4 (0 %)"
"org.springframework.util.ConcurrentReferenceHashMap$TaskOption","96 B (0 %)","4 (0 %)"
"jdk.internal.logger.BootstrapLogger$LoggingBackend","96 B (0 %)","4 (0 %)"
"com.fasterxml.jackson.databind.introspect.AnnotatedClass$Creators","96 B (0 %)","4 (0 %)"
"org.springframework.boot.logging.LogLevel[]","96 B (0 %)","2 (0 %)"
"org.springframework.scheduling.concurrent.ThreadPoolTaskExecutor","96 B (0 %)","1 (0 %)"
"java.util.regex.Pattern$CharPropertyGreedy","96 B (0 %)","4 (0 %)"
"com.fasterxml.jackson.annotation.JsonProperty$Access","96 B (0 %)","4 (0 %)"
"org.apache.catalina.authenticator.NonLoginAuthenticator","96 B (0 %)","1 (0 %)"
"org.springframework.web.servlet.mvc.method.annotation.RequestMappingHandlerMapping","96 B (0 %)","1 (0 %)"
"java.lang.WeakPairMap$Pair$Weak$1","96 B (0 %)","3 (0 %)"
"sun.nio.ch.SelectionKeyImpl[]","96 B (0 %)","2 (0 %)"
"java.text.SimpleDateFormat[]","96 B (0 %)","3 (0 %)"
"ch.qos.logback.core.pattern.parser.Token","96 B (0 %)","4 (0 %)"
"org.apache.tomcat.util.threads.ThreadPoolExecutor","96 B (0 %)","1 (0 %)"
"java.util.regex.Pattern$Curly","96 B (0 %)","3 (0 %)"
"java.util.stream.StreamShape","96 B (0 %)","4 (0 %)"
"com.sun.jmx.mbeanserver.MBeanIntrospector$PerInterfaceMap","96 B (0 %)","2 (0 %)"
"java.util.concurrent.ConcurrentHashMap$EntrySetView","96 B (0 %)","6 (0 %)"
"long[][]","96 B (0 %)","1 (0 %)"
"java.util.concurrent.CountDownLatch$Sync","96 B (0 %)","3 (0 %)"
"com.sun.proxy.jdk.proxy1.$Proxy19","96 B (0 %)","6 (0 %)"
"com.fasterxml.jackson.core.JsonFactory$Feature","96 B (0 %)","4 (0 %)"
"org.thymeleaf.standard.expression.StandardExpressionExecutionContext","96 B (0 %)","6 (0 %)"
"com.fasterxml.jackson.databind.introspect.AnnotatedConstructor","96 B (0 %)","3 (0 %)"
"org.springframework.web.method.annotation.ModelAttributeMethodProcessor","96 B (0 %)","4 (0 %)"
"com.fasterxml.jackson.annotation.PropertyAccessor[]","96 B (0 %)","2 (0 %)"
"org.springframework.http.converter.xml.SourceHttpMessageConverter","96 B (0 %)","3 (0 %)"
"sun.nio.ch.WindowsSelectorImpl$MapEntry","96 B (0 %)","4 (0 %)"
"org.springframework.core.annotation.AnnotationTypeMappings$Cache","96 B (0 %)","4 (0 %)"
"com.sun.jmx.mbeanserver.DefaultMXBeanMappingFactory$EnumMapping","96 B (0 %)","3 (0 %)"
"org.attoparser.config.ParseConfiguration$ElementBalancing","96 B (0 %)","4 (0 %)"
"org.apache.tomcat.util.http.MimeHeaders","96 B (0 %)","4 (0 %)"
"java.net.InetSocketAddress[]","96 B (0 %)","4 (0 %)"
"org.springframework.core.annotation.TypeMappedAnnotations$IsPresent","96 B (0 %)","4 (0 %)"
"sun.nio.ch.WindowsSelectorImpl$FdMap","96 B (0 %)","2 (0 %)"
"org.springframework.web.servlet.resource.DefaultResourceResolverChain","96 B (0 %)","4 (0 %)"
"org.thymeleaf.spring5.templateresolver.SpringResourceTemplateResolver","96 B (0 %)","1 (0 %)"
"org.springframework.beans.GenericTypeAwarePropertyDescriptor","96 B (0 %)","1 (0 %)"
"java.util.concurrent.ConcurrentSkipListMap","96 B (0 %)","2 (0 %)"
"java.util.Vector","96 B (0 %)","3 (0 %)"
"com.sun.jmx.mbeanserver.MBeanIntrospector$MBeanInfoMap","96 B (0 %)","2 (0 %)"
"java.time.LocalDate","96 B (0 %)","4 (0 %)"
"org.apache.tomcat.util.http.ConcurrentDateFormat","96 B (0 %)","3 (0 %)"
"com.fasterxml.jackson.datatype.jsr310.deser.JSR310StringParsableDeserializer","96 B (0 %)","3 (0 %)"
"org.springframework.boot.web.error.ErrorAttributeOptions$Include","96 B (0 %)","4 (0 %)"
"java.time.format.DateTimeFormatterBuilder$OffsetIdPrinterParser","96 B (0 %)","4 (0 %)"
"org.springframework.context.annotation.ScopedProxyMode","96 B (0 %)","4 (0 %)"
"org.springframework.web.accept.ContentNegotiationManager","96 B (0 %)","4 (0 %)"
"org.thymeleaf.engine.TemplateModelController$SkipBody","96 B (0 %)","4 (0 %)"
"sun.nio.ch.NioSocketImpl$1","96 B (0 %)","6 (0 %)"
"javax.management.openmbean.TabularType","96 B (0 %)","2 (0 %)"
"com.fasterxml.jackson.databind.type.TypeModifier[]","96 B (0 %)","4 (0 %)"
"org.apache.tomcat.util.log.UserDataHelper$Config","96 B (0 %)","4 (0 %)"
"com.fasterxml.jackson.annotation.JsonCreator$Mode","96 B (0 %)","4 (0 %)"
"com.sun.management.internal.GarbageCollectorExtImpl","96 B (0 %)","2 (0 %)"
"sun.net.spi.DefaultProxySelector$NonProxyInfo","96 B (0 %)","3 (0 %)"
"sun.rmi.transport.LiveRef","96 B (0 %)","3 (0 %)"
"com.sun.proxy.$Proxy45","96 B (0 %)","6 (0 %)"
"org.apache.catalina.util.Extension","96 B (0 %)","2 (0 %)"
"org.thymeleaf.standard.processor.StandardNonRemovableAttributeTagProcessor","96 B (0 %)","2 (0 %)"
"sun.util.locale.BaseLocale[]","96 B (0 %)","1 (0 %)"
"org.apache.xalan.processor.TransformerFactoryImpl","96 B (0 %)","3 (0 %)"
"java.lang.System$Logger$Level[]","96 B (0 %)","2 (0 %)"
"org.springframework.boot.context.properties.bind.JavaBeanBinder$BeanProperty","96 B (0 %)","3 (0 %)"
"java.util.regex.Pattern$Qtype","96 B (0 %)","4 (0 %)"
"org.apache.tomcat.util.net.NioChannel","96 B (0 %)","3 (0 %)"
"java.time.format.DateTimeFormatterBuilder$SettingsParser","96 B (0 %)","4 (0 %)"
"org.springframework.web.method.annotation.SessionAttributesHandler","96 B (0 %)","3 (0 %)"
"org.apache.commons.logging.LogAdapter$LogApi","96 B (0 %)","4 (0 %)"
"org.springframework.boot.autoconfigure.web.ErrorProperties$IncludeStacktrace","96 B (0 %)","4 (0 %)"
"com.fasterxml.jackson.databind.ser.BeanSerializerFactory","96 B (0 %)","6 (0 %)"
"java.lang.module.ModuleDescriptor$Requires$Modifier","96 B (0 %)","4 (0 %)"
"org.apache.tomcat.websocket.server.WsServerContainer","96 B (0 %)","1 (0 %)"
"org.apache.tomcat.util.net.Acceptor$AcceptorState","96 B (0 %)","4 (0 %)"
"org.apache.tomcat.util.net.AbstractEndpoint$BindState","96 B (0 %)","4 (0 %)"
"org.apache.tomcat.util.http.SameSiteCookies","96 B (0 %)","4 (0 %)"
"jdk.internal.jimage.ImageReader$SharedImageReader","96 B (0 %)","1 (0 %)"
"java.util.concurrent.LinkedBlockingQueue","96 B (0 %)","2 (0 %)"
"org.thymeleaf.util.ProcessorConfigurationUtils$CommentProcessorWrapper","96 B (0 %)","3 (0 %)"
"org.springframework.beans.factory.support.DefaultListableBeanFactory$DependencyObjectProvider","96 B (0 %)","3 (0 %)"
"sun.security.jca.ProviderConfig[]","88 B (0 %)","2 (0 %)"
"com.sun.jmx.remote.util.ClassLoaderWithRepository","88 B (0 %)","1 (0 %)"
"sun.nio.ch.ServerSocketChannelImpl","88 B (0 %)","1 (0 %)"
"org.springframework.boot.ansi.AnsiColor[]","88 B (0 %)","1 (0 %)"
"org.springframework.jmx.export.annotation.AnnotationMBeanExporter","88 B (0 %)","1 (0 %)"
"org.thymeleaf.DialectSetConfiguration","88 B (0 %)","1 (0 %)"
"java.nio.file.attribute.PosixFilePermission[]","88 B (0 %)","2 (0 %)"
"org.thymeleaf.spring5.view.ThymeleafViewResolver","88 B (0 %)","1 (0 %)"
"java.rmi.server.Operation[]","88 B (0 %)","3 (0 %)"
"sun.reflect.misc.MethodUtil","88 B (0 %)","1 (0 %)"
"org.springframework.boot.autoconfigure.web.ServerProperties$Tomcat","88 B (0 %)","1 (0 %)"
"org.apache.coyote.AsyncStateMachine","80 B (0 %)","2 (0 %)"
"org.springframework.core.MethodParameter$$Lambda$299.0x0000000800d1f9b0","80 B (0 %)","5 (0 %)"
"java.net.InetAddress$CachedAddresses","80 B (0 %)","2 (0 %)"
"org.springframework.web.bind.support.SimpleSessionStatus","80 B (0 %)","5 (0 %)"
"org.thymeleaf.standard.processor.StandardAttrTagProcessor","80 B (0 %)","2 (0 %)"
"org.springframework.beans.factory.annotation.InitDestroyAnnotationBeanPostProcessor$LifecycleMetadata","80 B (0 %)","2 (0 %)"
"javax.websocket.CloseReason$CloseCodes[]","80 B (0 %)","1 (0 %)"
"org.springframework.beans.propertyeditors.CustomBooleanEditor","80 B (0 %)","2 (0 %)"
"org.thymeleaf.standard.processor.StandardIncludeTagProcessor","80 B (0 %)","2 (0 %)"
"org.apache.coyote.http11.filters.IdentityInputFilter","80 B (0 %)","2 (0 %)"
"java.time.temporal.ChronoUnit[]","80 B (0 %)","1 (0 %)"
"org.apache.tomcat.util.buf.Utf8Decoder","80 B (0 %)","2 (0 %)"
"com.fasterxml.jackson.datatype.jsr310.JavaTimeModule$1","80 B (0 %)","5 (0 %)"
"org.apache.coyote.RequestGroupInfo","80 B (0 %)","1 (0 %)"
"org.apache.catalina.startup.Tomcat$SimpleRealm","80 B (0 %)","1 (0 %)"
"java.net.SocketTimeoutException","80 B (0 %)","2 (0 %)"
"org.springframework.web.servlet.handler.SimpleUrlHandlerMapping","80 B (0 %)","1 (0 %)"
"org.apache.tomcat.util.http.ServerCookie","80 B (0 %)","2 (0 %)"
"org.springframework.context.event.SimpleApplicationEventMulticaster","80 B (0 %)","2 (0 %)"
"org.thymeleaf.standard.processor.StandardAttrappendTagProcessor","80 B (0 %)","2 (0 %)"
"java.util.Collections$SingletonMap","80 B (0 %)","2 (0 %)"
"org.thymeleaf.spring5.processor.SpringInputRadioFieldTagProcessor","80 B (0 %)","1 (0 %)"
"org.apache.catalina.webresources.StandardRoot","80 B (0 %)","1 (0 %)"
"org.springframework.web.servlet.handler.BeanNameUrlHandlerMapping","80 B (0 %)","1 (0 %)"
"sun.nio.ch.WindowsSelectorImpl$SubSelector","80 B (0 %)","2 (0 %)"
"java.lang.VirtualMachineError","80 B (0 %)","2 (0 %)"
"org.springframework.boot.autoconfigure.web.servlet.WelcomePageHandlerMapping","80 B (0 %)","1 (0 %)"
"sun.rmi.server.UnicastServerRef2","80 B (0 %)","2 (0 %)"
"org.springframework.web.servlet.mvc.method.annotation.AbstractMessageConverterMethodProcessor$$Lambda$612.0x0000000800edbe38","80 B (0 %)","5 (0 %)"
"org.springframework.web.servlet.mvc.method.annotation.ExceptionHandlerExceptionResolver","80 B (0 %)","1 (0 %)"
"com.fasterxml.jackson.databind.introspect.BasicClassIntrospector","80 B (0 %)","5 (0 %)"
"org.springframework.boot.SpringApplication","80 B (0 %)","1 (0 %)"
"java.util.Locale$Category","80 B (0 %)","2 (0 %)"
"com.fasterxml.jackson.databind.deser.std.StdValueInstantiator","80 B (0 %)","1 (0 %)"
"org.springframework.validation.DefaultBindingErrorProcessor","80 B (0 %)","5 (0 %)"
"org.springframework.http.server.ServletServerHttpResponse$$Lambda$613.0x0000000800edc4a8","80 B (0 %)","5 (0 %)"
"org.springframework.web.context.request.async.WebAsyncManager$$Lambda$606.0x0000000800e94ef8","80 B (0 %)","5 (0 %)"
"org.thymeleaf.spring5.processor.SpringSelectFieldTagProcessor","80 B (0 %)","1 (0 %)"
"org.apache.catalina.core.StandardService","80 B (0 %)","1 (0 %)"
"java.util.stream.StreamOpFlag$Type[]","80 B (0 %)","2 (0 %)"
"java.nio.channels.spi.AbstractInterruptibleChannel$1","80 B (0 %)","5 (0 %)"
"org.thymeleaf.spring5.processor.SpringTextareaFieldTagProcessor","80 B (0 %)","1 (0 %)"
"org.thymeleaf.standard.processor.StandardXmlNsTagProcessor","80 B (0 %)","2 (0 %)"
"jdk.internal.loader.URLClassPath","80 B (0 %)","2 (0 %)"
"com.fasterxml.jackson.datatype.jsr310.ser.ZoneIdSerializer","80 B (0 %)","5 (0 %)"
"org.apache.coyote.http11.filters.ChunkedOutputFilter","80 B (0 %)","2 (0 %)"
"sun.management.MemoryManagerImpl","80 B (0 %)","2 (0 %)"
"java.io.PrintStream","80 B (0 %)","2 (0 %)"
"java.time.format.DateTimeFormatterBuilder$ZoneTextPrinterParser","80 B (0 %)","2 (0 %)"
"org.springframework.context.support.PropertySourcesPlaceholderConfigurer","80 B (0 %)","1 (0 %)"
"com.fasterxml.jackson.databind.module.SimpleKeyDeserializers","80 B (0 %)","5 (0 %)"
"com.fasterxml.jackson.databind.type.TypeParser","80 B (0 %)","5 (0 %)"
"java.lang.module.Configuration","80 B (0 %)","2 (0 %)"
"com.fasterxml.jackson.databind.jsontype.impl.StdSubtypeResolver","80 B (0 %)","5 (0 %)"
"org.springframework.web.cors.DefaultCorsProcessor","80 B (0 %)","5 (0 %)"
"org.springframework.web.servlet.FrameworkServlet$RequestBindingInterceptor","80 B (0 %)","5 (0 %)"
"sun.nio.ch.NioSocketImpl$2","80 B (0 %)","5 (0 %)"
"java.util.regex.IntHashSet[]","80 B (0 %)","5 (0 %)"
"org.springframework.core.annotation.AnnotationTypeMappings$$Lambda$261.0x0000000800d01e98","80 B (0 %)","5 (0 %)"
"javax.servlet.DispatcherType[]","80 B (0 %)","2 (0 %)"
"org.springframework.core.io.Resource[]","80 B (0 %)","3 (0 %)"
"java.lang.invoke.VarHandleReferences$Array","80 B (0 %)","2 (0 %)"
"org.springframework.ui.ModelMap$$Lambda$605.0x0000000800e943c0","80 B (0 %)","5 (0 %)"
"sun.util.cldr.CLDRLocaleProviderAdapter","80 B (0 %)","1 (0 %)"
"org.thymeleaf.spring5.processor.SpringInputGeneralFieldTagProcessor","80 B (0 %)","1 (0 %)"
"java.util.concurrent.ForkJoinPool$WorkQueue[]","80 B (0 %)","1 (0 %)"
"org.springframework.web.servlet.function.support.RouterFunctionMapping","80 B (0 %)","1 (0 %)"
"org.thymeleaf.standard.processor.StandardAttrprependTagProcessor","80 B (0 %)","2 (0 %)"
"com.sun.jmx.mbeanserver.DefaultMXBeanMappingFactory$TabularMapping","80 B (0 %)","2 (0 %)"
"org.springframework.http.HttpStatus$Series[]","80 B (0 %)","2 (0 %)"
"org.apache.catalina.servlets.DefaultServlet","80 B (0 %)","1 (0 %)"
"java.net.URLPermission$Authority","80 B (0 %)","5 (0 %)"
"org.thymeleaf.standard.processor.StandardRefAttributeTagProcessor","80 B (0 %)","2 (0 %)"
"java.lang.ModuleLayer","80 B (0 %)","2 (0 %)"
